Description,Price,Rating,Review Count,Product URL
"G-STORY 15.6’’ 4K Monitor PS5, Schermo PS5 UHD 4K, Monitor Portatile per PS5 con Altoparlanti Doppi","69,99 €","4,5 su 5 stelle","G-STORY 15.6’’ 4K Monitor PS5, Schermo PS5 UHD 4K, Monitor Portatile per PS5 con Altoparlanti Doppi",https://www.amazon.it//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A041846015H1UAEDGG1BY&url=%2FG-STORY-Monitor-Schermo-Portatile-Altoparlanti%2Fdp%2FB096XRH53W%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dps5%26qid%3D1652351378%26sr%3D8-49-spons%26psc%3D1&qualifier=1652351378&id=7710046490479319&widgetName=sp_atf_next
PS5 Light Luce LED RGB per PS5 8 colori 400 effetti musica sinc colore cambiando le luci per Playstation 5 Console 5050 RGB DIY decorazione accessori anello luci controllato con APP o IR Remote,"8,99 €","4,5 su 5 stelle",PS5 Light Luce LED RGB per PS5 8 colori 400 effetti musica sinc colore cambiando le luci per Playstation 5 Console 5050 RGB DIY decorazione accessori anello luci controllato con APP o IR Remote,https://www.amazon.it//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A015258837TLAZABLPEMT&url=%2FDOBEWINGDELOU-cambiando-Playstation-decorazione-controllato%2Fdp%2FB09CNGHMJ3%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dps5%26qid%3D1652351378%26sr%3D8-50-spons%26psc%3D1%26smid%3DA2GW0TROMT5V4Z&qualifier=1652351378&id=7710046490479319&widgetName=sp_atf_next
Sony PlayStation®5 - DualSense™ Wireless Controller Midnight Black,/A,"4,7 su 5 stelle",Sony PlayStation®5 - DualSense™ Wireless Controller Midnight Black,https://www.amazon.it//Sony-PlayStation%C2%AE5-DualSenseTM-Wireless-Controller/dp/B094WLFGD3/ref=sr_1_51?keywords=ps5&qid=1652351378&sr=8-51
Mcbazel PS5 Ventola di Raffreddamento Supporto di Ricarica Multifunzionale per PS5 Console Controller wireless DualSense – bianca,"0,99 €","4,0 su 5 stelle",Mcbazel PS5 Ventola di Raffreddamento Supporto di Ricarica Multifunzionale per PS5 Console Controller wireless DualSense – bianca,https://www.amazon.it//Mcbazel-Raffreddamento-Multifunzionale-Controller-DualSense/dp/B097R8D3CY/ref=sr_1_52?keywords=ps5&qid=1652351378&sr=8-52
"PlayVital Cover per ps5 Copertura Antipolvere per ps5 Console Digital&Standard Edition,Coperchio Nylon Verticale Protettivo Impermeabile per ps5 Console(Mimetica Forestale)","0,99 €","4,7 su 5 stelle","PlayVital Cover per ps5 Copertura Antipolvere per ps5 Console Digital&Standard Edition,Coperchio Nylon Verticale Protettivo Impermeabile per ps5 Console(Mimetica Forestale)",https://www.amazon.it//PlayVital-Copertura-Antipolvere-Protettivo-Impermeabile/dp/B0995QY2QP/ref=sr_1_53?keywords=ps5&qid=1652351378&sr=8-53
"SteelSeries Arctis Pro Wireless, Cuffie da Gioco Senza Fili, Driver dello Speaker ad Alta Risoluzione, Wireless Doppio 2.4 H e Bluetooth 4.1, Compatibilie con PC/PS5/PS4/Mac, Nero",/A,"4,2 su 5 stelle","SteelSeries Arctis Pro Wireless, Cuffie da Gioco Senza Fili, Driver dello Speaker ad Alta Risoluzione, Wireless Doppio 2.4 H e Bluetooth 4.1, Compatibilie con PC/PS5/PS4/Mac, Nero",https://www.amazon.it//SteelSeries-Arctis-Pro-Wireless-Risoluzione/dp/B07B819VMQ/ref=sr_1_54?keywords=ps5&qid=1652351378&sr=8-54
Assassin's Creed Valhalla L'Alba del Ragnarok - Code in Box (Add-On) - Ps5,"4,99 €","4,1 su 5 stelle",Assassin's Creed Valhalla L'Alba del Ragnarok - Code in Box (Add-On) - Ps5,https://www.amazon.it//Assassins-Creed-Valhalla-LAlba-Ragnarok/dp/B09NP6JPFQ/ref=sr_1_55?keywords=ps5&qid=1652351378&sr=8-55
"Batteria agli ioni di litio ad alte prestazioni 2600mAh per il controller PS5, 66% in più di resistenza (capacità), regolazione del controller PS5","4,99 €","4,6 su 5 stelle","Batteria agli ioni di litio ad alte prestazioni 2600mAh per il controller PS5, 66% in più di resistenza (capacità), regolazione del controller PS5",https://www.amazon.it//Batteria-prestazioni-controller-originale-Playstation/dp/B09DD726YC/ref=sr_1_56?keywords=ps5&qid=1652351378&sr=8-56
"WWE 2K22 - - PlayStation 5, Standard Edition","2,99 €","4,2 su 5 stelle","WWE 2K22 - - PlayStation 5, Standard Edition",https://www.amazon.it//WWE-2K22-PlayStation-Standard/dp/B09R4ZDHJ5/ref=sr_1_57?keywords=ps5&qid=1652351378&sr=8-57
Kena. Bridge of Spirits - Deluxe Edition - Special,"7,50 €","4,6 su 5 stelle",Kena. Bridge of Spirits - Deluxe Edition - Special,https://www.amazon.it//Kena-Bridge-Spirits-Deluxe-Special/dp/B09H7V5WM2/ref=sr_1_58?keywords=ps5&qid=1652351378&sr=8-58
"eXtremeRate Rise 2.0 Remap Kit Programmabile per ps5 Controller BDM-010&BDM-020,Grip Gomma Tasti Posteriori Palette Back Buttons Attachment per ps5 Joystick-Bianco","0,99 €","4,5 su 5 stelle","eXtremeRate Rise 2.0 Remap Kit Programmabile per ps5 Controller BDM-010&BDM-020,Grip Gomma Tasti Posteriori Palette Back Buttons Attachment per ps5 Joystick-Bianco",https://www.amazon.it//eXtremeRate-Programmabile-Controller-Posteriori-Joystick-Bianco/dp/B09HTKXRVN/ref=sr_1_59?keywords=ps5&qid=1652351378&sr=8-59
Sony PlayStation®5 - DualSense™ Wireless Controller Nova Pink,/A,"4,7 su 5 stelle",Sony PlayStation®5 - DualSense™ Wireless Controller Nova Pink,https://www.amazon.it//Sony-PlayStation%C2%AE5-DualSenseTM-Wireless-Controller/dp/B09NLFPD4Q/ref=sr_1_60?keywords=ps5&qid=1652351378&sr=8-60
"eXtremeRate RISE4 Remap Kit Programmabile per ps5 Controller BDM-010/020,4 Tasti Posteriori Cover Palette Back Buttons Attachment per ps5 Joystick-Rosso Antiscivolo","2,99 €","4,4 su 5 stelle","eXtremeRate RISE4 Remap Kit Programmabile per ps5 Controller BDM-010/020,4 Tasti Posteriori Cover Palette Back Buttons Attachment per ps5 Joystick-Rosso Antiscivolo",https://www.amazon.it//eXtremeRate-Programmabile-Controller-Joystick-Rosso-Antiscivolo/dp/B09NTHCMWL/ref=sr_1_61?keywords=ps5&qid=1652351378&sr=8-61
eXtremeRate Trasforma Rise in RISE4-Tasti Posteriori K1 K2 K3 K4&Remap Scheda PCB Ricambio per ps5 Controller Rise&RISE4 Remap Kit(Non Include Controller&Cavi di Remap)-Camaleonte Viola Blu,"7,99 €","4,3 su 5 stelle",eXtremeRate Trasforma Rise in RISE4-Tasti Posteriori K1 K2 K3 K4&Remap Scheda PCB Ricambio per ps5 Controller Rise&RISE4 Remap Kit(Non Include Controller&Cavi di Remap)-Camaleonte Viola Blu,https://www.amazon.it//eXtremeRate-RISE4-Tasti-Posteriori-Controller-Camaleonte/dp/B09QFX2W4S/ref=sr_1_62?keywords=ps5&qid=1652351378&sr=8-62
Ghost of Tsushima Director’s Cut - PlayStation 5,"1,99 €","4,9 su 5 stelle",Ghost of Tsushima Director’s Cut - PlayStation 5,https://www.amazon.it//Ghost-Tsushima-Directors-Cut-PlayStation/dp/B098PPK641/ref=sr_1_63?keywords=ps5&qid=1652351378&sr=8-63
"Stazione di ricarica compatibile con controller PS5 ， Stazione di ricarica rapida per controller wireless PS5, caricabatterie LED compatibile con controller PS5","0,90 €","4,7 su 5 stelle","Stazione di ricarica compatibile con controller PS5 ， Stazione di ricarica rapida per controller wireless PS5, caricabatterie LED compatibile con controller PS5",https://www.amazon.it//Stazione-ricarica-compatibile-controller-caricabatterie/dp/B09DCZ4229/ref=sr_1_64?keywords=ps5&qid=1652351378&sr=8-64
